Fold,RankOrderInSelectedArray,FeatureIndex,FeatureBlock,FeatureName
1,1,1,FFT,FFT128_0p079Hz
1,2,2,FFT,FFT128_0p157Hz
1,3,16,FFT,FFT128_1p26Hz
1,4,25,FFT,FFT128_1p969Hz
1,5,39,FFT,FFT128_3p071Hz
1,6,40,FFT,FFT128_3p15Hz
1,7,44,FFT,FFT128_3p465Hz
1,8,45,FFT,FFT128_3p543Hz
1,9,49,FFT,FFT128_3p858Hz
1,10,54,FFT,FFT128_4p252Hz
1,11,65,FFT,FFT128_5p118Hz
1,12,95,FFT,FFT128_7p48Hz
1,13,119,FFT,FFT128_9p37Hz
1,14,120,FFT,FFT128_9p449Hz
1,15,123,FFT,FFT128_9p685Hz
1,16,125,FFT,FFT128_9p843Hz
1,17,128,STFT,STFT_t1
1,18,129,STFT,STFT_t2
1,19,130,STFT,STFT_t3
1,20,132,STFT,STFT_t5
1,21,133,STFT,STFT_t6
1,22,141,STFT,STFT_t14
1,23,144,STFT,STFT_t17
1,24,145,STFT,STFT_t18
1,25,146,STFT,STFT_t19
1,26,147,STFT,STFT_t20
1,27,148,STFT,STFT_t21
1,28,149,STFT,STFT_t22
1,29,150,STFT,STFT_t23
1,30,152,STFT,STFT_t25
1,31,153,STFT,STFT_t26
1,32,154,STFT,STFT_t27
1,33,155,STFT,STFT_t28
1,34,156,STFT,STFT_t29
1,35,161,STFT,STFT_t34
1,36,163,STFT,STFT_t36
1,37,164,STFT,STFT_t37
1,38,165,STFT,STFT_t38
1,39,167,STFT,STFT_t40
1,40,169,STFT,STFT_t42
1,41,170,STFT,STFT_t43
1,42,171,STFT,STFT_t44
1,43,182,STFT,STFT_t55
1,44,183,STFT,STFT_t56
1,45,186,STFT,STFT_t59
1,46,187,STFT,STFT_t60
1,47,193,STFT,STFT_t66
1,48,194,STFT,STFT_t67
1,49,196,STFT,STFT_t69
1,50,198,STFT,STFT_t71
1,51,199,STFT,STFT_t72
1,52,201,STFT,STFT_t74
1,53,205,STFT,STFT_t78
1,54,206,STFT,STFT_t79
1,55,207,STFT,STFT_t80
1,56,210,STFT,STFT_t83
1,57,211,STFT,STFT_t84
1,58,213,STFT,STFT_t86
1,59,214,STFT,STFT_t87
1,60,215,STFT,STFT_t88
1,61,216,STFT,STFT_t89
1,62,217,STFT,STFT_t90
1,63,218,STFT,STFT_t91
1,64,219,STFT,STFT_t92
1,65,220,STFT,STFT_t93
1,66,222,STFT,STFT_t95
1,67,235,STFT,STFT_t108
1,68,236,STFT,STFT_t109
1,69,237,STFT,STFT_t110
1,70,238,STFT,STFT_t111
1,71,239,STFT,STFT_t112
1,72,240,STFT,STFT_t113
1,73,241,STFT,STFT_t114
1,74,242,STFT,STFT_t115
1,75,243,STFT,STFT_t116
1,76,245,STFT,STFT_t118
1,77,246,STFT,STFT_t119
1,78,247,STFT,STFT_t120
1,79,248,STFT,STFT_t121
1,80,249,STFT,STFT_t122
1,81,256,CWT,CWT_t1
1,82,257,CWT,CWT_t2
1,83,258,CWT,CWT_t3
1,84,259,CWT,CWT_t4
1,85,260,CWT,CWT_t5
1,86,261,CWT,CWT_t6
1,87,262,CWT,CWT_t7
1,88,263,CWT,CWT_t8
1,89,264,CWT,CWT_t9
1,90,265,CWT,CWT_t10
1,91,266,CWT,CWT_t11
1,92,267,CWT,CWT_t12
1,93,268,CWT,CWT_t13
1,94,269,CWT,CWT_t14
1,95,270,CWT,CWT_t15
1,96,271,CWT,CWT_t16
1,97,272,CWT,CWT_t17
1,98,273,CWT,CWT_t18
1,99,274,CWT,CWT_t19
1,100,275,CWT,CWT_t20
1,101,276,CWT,CWT_t21
1,102,277,CWT,CWT_t22
1,103,278,CWT,CWT_t23
1,104,279,CWT,CWT_t24
1,105,280,CWT,CWT_t25
1,106,281,CWT,CWT_t26
1,107,282,CWT,CWT_t27
1,108,283,CWT,CWT_t28
1,109,284,CWT,CWT_t29
1,110,285,CWT,CWT_t30
1,111,286,CWT,CWT_t31
1,112,287,CWT,CWT_t32
1,113,288,CWT,CWT_t33
1,114,289,CWT,CWT_t34
1,115,290,CWT,CWT_t35
1,116,291,CWT,CWT_t36
1,117,292,CWT,CWT_t37
1,118,293,CWT,CWT_t38
1,119,294,CWT,CWT_t39
1,120,295,CWT,CWT_t40
1,121,296,CWT,CWT_t41
1,122,297,CWT,CWT_t42
1,123,298,CWT,CWT_t43
1,124,299,CWT,CWT_t44
1,125,300,CWT,CWT_t45
1,126,301,CWT,CWT_t46
1,127,302,CWT,CWT_t47
1,128,303,CWT,CWT_t48
1,129,304,CWT,CWT_t49
1,130,305,CWT,CWT_t50
1,131,306,CWT,CWT_t51
1,132,307,CWT,CWT_t52
1,133,308,CWT,CWT_t53
1,134,309,CWT,CWT_t54
1,135,310,CWT,CWT_t55
1,136,311,CWT,CWT_t56
1,137,312,CWT,CWT_t57
1,138,313,CWT,CWT_t58
1,139,314,CWT,CWT_t59
1,140,315,CWT,CWT_t60
1,141,316,CWT,CWT_t61
1,142,317,CWT,CWT_t62
1,143,318,CWT,CWT_t63
1,144,319,CWT,CWT_t64
1,145,320,CWT,CWT_t65
1,146,321,CWT,CWT_t66
1,147,322,CWT,CWT_t67
1,148,323,CWT,CWT_t68
1,149,324,CWT,CWT_t69
1,150,325,CWT,CWT_t70
1,151,326,CWT,CWT_t71
1,152,327,CWT,CWT_t72
1,153,328,CWT,CWT_t73
1,154,329,CWT,CWT_t74
1,155,330,CWT,CWT_t75
1,156,331,CWT,CWT_t76
1,157,332,CWT,CWT_t77
1,158,333,CWT,CWT_t78
1,159,334,CWT,CWT_t79
1,160,335,CWT,CWT_t80
1,161,336,CWT,CWT_t81
1,162,337,CWT,CWT_t82
1,163,338,CWT,CWT_t83
1,164,339,CWT,CWT_t84
1,165,340,CWT,CWT_t85
1,166,341,CWT,CWT_t86
1,167,342,CWT,CWT_t87
1,168,343,CWT,CWT_t88
1,169,344,CWT,CWT_t89
1,170,345,CWT,CWT_t90
1,171,346,CWT,CWT_t91
1,172,347,CWT,CWT_t92
1,173,348,CWT,CWT_t93
1,174,349,CWT,CWT_t94
1,175,350,CWT,CWT_t95
1,176,351,CWT,CWT_t96
1,177,352,CWT,CWT_t97
1,178,353,CWT,CWT_t98
1,179,354,CWT,CWT_t99
1,180,355,CWT,CWT_t100
1,181,356,CWT,CWT_t101
1,182,357,CWT,CWT_t102
1,183,358,CWT,CWT_t103
1,184,359,CWT,CWT_t104
1,185,360,CWT,CWT_t105
1,186,361,CWT,CWT_t106
1,187,362,CWT,CWT_t107
1,188,363,CWT,CWT_t108
1,189,364,CWT,CWT_t109
1,190,365,CWT,CWT_t110
1,191,366,CWT,CWT_t111
1,192,367,CWT,CWT_t112
1,193,368,CWT,CWT_t113
1,194,369,CWT,CWT_t114
1,195,370,CWT,CWT_t115
1,196,371,CWT,CWT_t116
1,197,372,CWT,CWT_t117
1,198,373,CWT,CWT_t118
1,199,374,CWT,CWT_t119
1,200,375,CWT,CWT_t120
1,201,376,CWT,CWT_t121
1,202,377,CWT,CWT_t122
1,203,378,CWT,CWT_t123
1,204,379,CWT,CWT_t124
1,205,380,CWT,CWT_t125
1,206,381,CWT,CWT_t126
1,207,382,CWT,CWT_t127
1,208,383,CWT,CWT_t128
2,1,1,FFT,FFT128_0p079Hz
2,2,2,FFT,FFT128_0p157Hz
2,3,6,FFT,FFT128_0p472Hz
2,4,8,FFT,FFT128_0p63Hz
