File,Event,Label,BaseGroup,IsOriginal,IsAugmented,OuterSplit
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data31.mat,walk and fall,1,data31.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data31_aug1.mat,walk and fall,1,data31.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data32.mat,walk and fall,1,data32.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data32_aug1.mat,walk and fall,1,data32.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data33.mat,walk and fall,1,data33.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data33_aug1.mat,walk and fall,1,data33.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data34.mat,walk and fall,1,data34.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data34_aug1.mat,walk and fall,1,data34.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data35.mat,walk and fall,1,data35.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data35_aug1.mat,walk and fall,1,data35.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data36.mat,walk and fall,1,data36.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data36_aug1.mat,walk and fall,1,data36.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data37.mat,walk and fall,1,data37.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data37_aug1.mat,walk and fall,1,data37.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data38.mat,walk and fall,1,data38.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data38_aug1.mat,walk and fall,1,data38.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data39.mat,walk and fall,1,data39.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data39_aug1.mat,walk and fall,1,data39.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data40.mat,walk and fall,1,data40.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data40_aug1.mat,walk and fall,1,data40.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data41.mat,walk and fall,1,data41.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data41_aug1.mat,walk and fall,1,data41.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data42.mat,walk and fall,1,data42.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data42_aug1.mat,walk and fall,1,data42.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data43.mat,walk and fall,1,data43.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data43_aug1.mat,walk and fall,1,data43.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data44.mat,walk and fall,1,data44.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data44_aug1.mat,walk and fall,1,data44.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data45.mat,walk and fall,1,data45.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data45_aug1.mat,walk and fall,1,data45.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data46.mat,walk and fall,1,data46.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data46_aug1.mat,walk and fall,1,data46.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data47.mat,walk and fall,1,data47.mat,1,0,trainval_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data47_aug1.mat,walk and fall,1,data47.mat,0,1,trainval_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data48.mat,walk and fall,1,data48.mat,1,0,test_original
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data48_aug1.mat,walk and fall,1,data48.mat,0,1,test_augmented
C:\Users\nurel\Downloads\ELLYANA FYP\Data Augmented\(01) walk and fall\data49.mat,walk and fall,1,data49.mat,1,0,trainval_original
